2026-07-03 06:23:59 | INFO     | __main__:<module>:4 | Application started successfully.
2026-07-03 06:23:59 | WARNING  | __main__:<module>:5 | This is a warning.
2026-07-03 06:23:59 | ERROR    | __main__:<module>:6 | This is an error.
2026-07-03 06:23:59 | SUCCESS  | __main__:<module>:7 | Logger is working correctly!
2026-07-03 06:31:47 | INFO     | database.database:<module>:25 | Initializing database engine...
2026-07-03 06:31:47 | INFO     | database.database:create_database:61 | Creating database tables...
2026-07-03 06:31:47 | SUCCESS  | database.database:create_database:65 | Database initialized successfully.
2026-07-03 06:41:56 | INFO     | database.database:<module>:25 | Initializing database engine...
2026-07-03 06:41:56 | INFO     | __main__:initialize:20 | Starting application...
2026-07-03 06:41:56 | INFO     | database.database:create_database:61 | Creating database tables...
2026-07-03 06:41:56 | SUCCESS  | database.database:create_database:65 | Database initialized successfully.
2026-07-03 06:43:37 | INFO     | __main__:initialize:20 | Starting application...
2026-07-03 06:43:37 | INFO     | database.database:create_database:61 | Creating database tables...
2026-07-03 06:43:37 | SUCCESS  | database.database:create_database:65 | Database initialized successfully.
2026-07-03 08:25:54 | INFO     | __main__:initialize:20 | Starting application...
2026-07-03 08:25:54 | INFO     | database.database:create_database:61 | Creating database tables...
2026-07-03 08:25:54 | SUCCESS  | database.database:create_database:65 | Database initialized successfully.
2026-07-03 18:45:36 | INFO     | database.database:<module>:25 | Initializing database engine...
2026-07-03 18:45:36 | INFO     | __main__:initialize:20 | Starting application...
2026-07-03 18:45:36 | INFO     | database.database:create_database:61 | Creating database tables...
2026-07-03 18:45:36 | SUCCESS  | database.database:create_database:65 | Database initialized successfully.
2026-07-03 18:47:45 | INFO     | __main__:initialize:20 | Starting application...
2026-07-03 18:47:45 | INFO     | database.database:create_database:61 | Creating database tables...
2026-07-03 18:47:45 | SUCCESS  | database.database:create_database:65 | Database initialized successfully.
2026-07-03 18:47:56 | INFO     | __main__:initialize:20 | Starting application...
2026-07-03 18:47:56 | INFO     | database.database:create_database:61 | Creating database tables...
2026-07-03 18:47:56 | SUCCESS  | database.database:create_database:65 | Database initialized successfully.
